2026-02-06 15:16:50 - DEBUG - {"module": "hardware.camera", "timestamp": "2026-02-06T15:16:50.230738", "message": "CameraCapture 객체 생성", "data": {"camera_index": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "hardware.camera", "timestamp": "2026-02-06T15:16:51.298225", "message": "카메라 객체 생성", "data": {"buffer_size": 1}}
2026-02-06 15:16:51 - DEBUG - {"module": "hardware.camera", "timestamp": "2026-02-06T15:16:51.298225", "message": "카메라 객체 생성", "data": {"buffer_size": 1}}
2026-02-06 15:16:51 - DEBUG - {"module": "vision.yolo_infer", "timestamp": "2026-02-06T15:16:51.301225", "message": "SharedState 객체 생성 완료"}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.301225", "message": "공유 상태 객체 생성 완료"}
2026-02-06 15:16:51 - DEBUG - {"module": "vision.yolo_infer", "timestamp": "2026-02-06T15:16:51.386224", "message": "추론 시작", "data": {"frame_seq": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "vision.yolo_infer", "timestamp": "2026-02-06T15:16:51.387223", "message": "추론 시작", "data": {"conf": 0.5, "imgsz": 640}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.387223", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.388222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.641223", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.641223", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.650222", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.650222", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.655221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.655221", "message": "탐지 결과 획득", "data": {"count": 0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.660221", "message": "프레임 처리", "data": {"fps": 0.0}}
2026-02-06 15:16:51 - DEBUG - {"module": "main_orchestrator", "timestamp": "2026-02-06T15:16:51.660221", "message": "탐지 결과 획득", "data": {"count": 0}}
